Year,Team,Name,Salary,nameFirst,nameLast,cleanFirst,cleanLast,playerID
2011,ARI,Kelly Johnson,5850000,Kelly,Johnson,kelly,johnson,johnske01
2011,ARI,Joe Saunders,5500000,Joe,Saunders,joe,saunders,saundjo01
2011,ARI,Chris Young,5200000,Chris,Young,chris,young,youngch01
2011,ARI,Stephen Drew,4650000,Stephen,Drew,stephen,drew,drewst01
2011,ARI,Justin Upton,4458333,Justin,Upton,justin,upton,uptonju01
2011,ARI,J. J. Putz,4000000,J. J.,Putz,jj,putz,putzjj01
2011,ARI,Zach Duke,3500000,Zach,Duke,zach,duke,dukeza01
2011,ARI,Miguel Montero,3200000,Miguel,Montero,miguel,montero,montemi01
2011,ARI,Melvin Mora,2350000,Melvin,Mora,melvin,mora,morame01
2011,ARI,Armando Galarraga,2300000,Armando,Galarraga,armando,galarraga,galarar01
2011,ARI,Aaron Heilman,2000000,Aaron,Heilman,aaron,heilman,heilmaa01
2011,ARI,Xavier Nady,1750000,Xavier,Nady,xavier,nady,nadya01
2011,ARI,Geoff Blum,1350000,Geoff,Blum,geoff,blum,blumge01
2011,ARI,Henry Blanco,1000000,Henry,Blanco,henry,blanco,blanche01
2011,ARI,Russell Branyan,1000000,Russell,Branyan,russell,branyan,branyru01
2011,ARI,Willie Bloomquist,900000,Willie,Bloomquist,willie,bloomquist,bloomwi01
2011,ARI,J. C. Gutierrez,430500,J. C.,Gutierrez,jc,gutierrez,gutiejc01
2011,ARI,Gerardo Parra,426000,Gerardo,Parra,gerardo,parra,parrage01
2011,ARI,David Hernandez,423500,David,Hernandez,david,hernandez,hernada01
2011,ARI,Ryan Roberts,423500,Ryan,Roberts,ryan,roberts,roberry01
2011,ARI,Ian Kennedy,423000,Ian,Kennedy,ian,kennedy,kenneia01
2011,ARI,Juan Miranda,420000,Juan,Miranda,juan,miranda,miranju01
2011,ARI,Daniel Hudson,419000,Daniel,Hudson,daniel,hudson,hudsoda01
2011,ARI,Barry Enright,418000,Barry,Enright,barry,enright,enrigba01
2011,ARI,Sam Demel,417000,Sam,Demel,sam,demel,demelsa01
2011,ARI,Kam Mickolio,417000,Kam,Mickolio,kam,mickolio,mickoka01
2011,ARI,Joe Paterson,414000,Joe,Paterson,joe,paterson,paterjo01
2012,ARI,Stephen Drew,7750000,Stephen,Drew,stephen,drew,drewst01
2012,ARI,Jason Kubel,7500000,Jason,Kubel,jason,kubel,kubelja01
2012,ARI,Chris Young,7200000,Chris,Young,chris,young,youngch01
2012,ARI,Justin Upton,6958333,Justin,Upton,justin,upton,uptonju01
2012,ARI,Joe Saunders,6000000,Joe,Saunders,joe,saunders,saundjo01
2012,ARI,Miguel Montero,5900000,Miguel,Montero,miguel,montero,montemi01
2012,ARI,Aaron Hill,5500000,Aaron,Hill,aaron,hill,hillaa01
2012,ARI,J. J. Putz,4500000,J. J.,Putz,jj,putz,putzjj01
2012,ARI,Trevor Cahill,3700000,Trevor,Cahill,trevor,cahill,cahiltr01
2012,ARI,Ryan Roberts,2012500,Ryan,Roberts,ryan,roberts,roberry01
2012,ARI,Willie Bloomquist,1900000,Willie,Bloomquist,willie,bloomquist,bloomwi01
2012,ARI,Craig Breslow,1795000,Craig,Breslow,craig,breslow,breslcr01
2012,ARI,Brad Ziegler,1795000,Brad,Ziegler,brad,ziegler,zieglbr01
2012,ARI,Takashi Saito,1750000,Takashi,Saito,takashi,saito,saitota01
2012,ARI,John McDonald,1500000,John,McDonald,john,mcdonald,mcdonjo01
2012,ARI,Geoff Blum,1350000,Geoff,Blum,geoff,blum,blumge01
2012,ARI,Henry Blanco,1250000,Henry,Blanco,henry,blanco,blanche01
2012,ARI,Lyle Overbay,1000000,Lyle,Overbay,lyle,overbay,overbly01
2012,ARI,Ian Kennedy,519500,Ian,Kennedy,ian,kennedy,kenneia01
2012,ARI,Daniel Hudson,504000,Daniel,Hudson,daniel,hudson,hudsoda01
2012,ARI,Gerardo Parra,502000,Gerardo,Parra,gerardo,parra,parrage01
2012,ARI,David Hernandez,499000,David,Hernandez,david,hernandez,hernada01
2012,ARI,Joe Paterson,487500,Joe,Paterson,joe,paterson,paterjo01
2012,ARI,Josh Collmenter,486000,Josh,Collmenter,josh,collmenter,collmjo01
2012,ARI,Bryan Shaw,483000,Bryan,Shaw,bryan,shaw,shawbr01
2012,ARI,Paul Goldschmidt,482000,Paul,Goldschmidt,paul,goldschmidt,goldspa01
2012,ARI,Wade Miley,481000,Wade,Miley,wade,miley,mileywa01
2013,ARI,Heath Bell,10000000,Heath,Bell,heath,bell,bellhe01
2013,ARI,Miguel Montero,10000000,Miguel,Montero,miguel,montero,montemi01
2013,ARI,Jason Kubel,7500000,Jason,Kubel,jason,kubel,kubelja01
2013,ARI,Martin Prado,7000000,Martin,Prado,martin,prado,pradoma01
2013,ARI,J. J. Putz,6500000,J. J.,Putz,jj,putz,putzjj01
2013,ARI,Cody Ross,6000000,Cody,Ross,cody,ross,rossco01
2013,ARI,Trevor Cahill,5700000,Trevor,Cahill,trevor,cahill,cahiltr01
2013,ARI,Aaron Hill,5500000,Aaron,Hill,aaron,hill,hillaa01
2013,ARI,Brandon McCarthy,5250000,Brandon,McCarthy,brandon,mccarthy,mccarbr01
2013,ARI,Ian Kennedy,4265000,Ian,Kennedy,ian,kennedy,kenneia01
2013,ARI,Brad Ziegler,3150000,Brad,Ziegler,brad,ziegler,zieglbr01
2013,ARI,Eric Chavez,3000000,Eric,Chavez,eric,chavez,chaveer01
2013,ARI,Gerardo Parra,2350000,Gerardo,Parra,gerardo,parra,parrage01
2013,ARI,Willie Bloomquist,1900000,Willie,Bloomquist,willie,bloomquist,bloomwi01
2013,ARI,Cliff Pennington,1750000,Cliff,Pennington,cliff,pennington,pennicl01
2013,ARI,David Hernandez,1375000,David,Hernandez,david,hernandez,hernada01
2013,ARI,Eric Hinske,1350000,Eric,Hinske,eric,hinske,hinsker01
2013,ARI,Tony Sipp,1275000,Tony,Sipp,tony,sipp,sippto01
2013,ARI,Wil Nieves,800000,Wil,Nieves,wil,nieves,nievewi01
2013,ARI,Matt Reynolds,505500,Matt,Reynolds,matt,reynolds,reynoma01
2013,ARI,Josh Collmenter,504000,Josh,Collmenter,josh,collmenter,collmjo01
2013,ARI,Wade Miley,500500,Wade,Miley,wade,miley,mileywa01
2013,ARI,Paul Goldschmidt,500000,Paul,Goldschmidt,paul,goldschmidt,goldspa01
2013,ARI,Tony Campana,497500,Tony,Campana,tony,campana,campato01
2013,ARI,Joe Paterson,497500,Joe,Paterson,joe,paterson,paterjo01
2013,ARI,Randall Delgado,495000,Randall,Delgado,randall,delgado,delgara01
2013,ARI,Patrick Corbin,494000,Patrick,Corbin,patrick,corbin,corbipa01
2013,ARI,Adam Eaton,491000,Adam,Eaton,adam,eaton,eatonad01
2013,ARI,Didi Gregorius,491000,Didi,Gregorius,didi,gregorius,gregodi01
2013,ARI,AJ Pollock,491000,AJ,Pollock,aj,pollock,polloaj01
2014,ARI,Aaron Hill,11000000,Aaron,Hill,aaron,hill,hillaa01
2014,ARI,Martin Prado,11000000,Martin,Prado,martin,prado,pradoma01
2014,ARI,Miguel Montero,10000000,Miguel,Montero,miguel,montero,montemi01
2014,ARI,Bronson Arroyo,9500000,Bronson,Arroyo,bronson,arroyo,arroybr01
2014,ARI,Cody Ross,9500000,Cody,Ross,cody,ross,rossco01
2014,ARI,Trevor Cahill,7700000,Trevor,Cahill,trevor,cahill,cahiltr01
2014,ARI,J. J. Putz,7000000,J. J.,Putz,jj,putz,putzjj01
2014,ARI,Gerardo Parra,4850000,Gerardo,Parra,gerardo,parra,parrage01
2014,ARI,Mark Trumbo,4800000,Mark,Trumbo,mark,trumbo,trumbma01
2014,ARI,Brad Ziegler,4500000,Brad,Ziegler,brad,ziegler,zieglbr01
2014,ARI,Eric Chavez,3500000,Eric,Chavez,eric,chavez,chaveer01
2014,ARI,Cliff Pennington,3250000,Cliff,Pennington,cliff,pennington,pennicl01
2014,ARI,Joe Thatcher,2375000,Joe,Thatcher,joe,thatcher,thatcjo01
2014,ARI,Oliver Perez,1750000,Oliver,Perez,oliver,perez,perezol01
2014,ARI,Paul Goldschmidt,1100000,Paul,Goldschmidt,paul,goldschmidt,goldspa01
2014,ARI,Josh Collmenter,925000,Josh,Collmenter,josh,collmenter,collmjo01
2014,ARI,Addison Reed,538500,Addison,Reed,addison,reed,reedad01
2014,ARI,Wade Miley,523500,Wade,Miley,wade,miley,mileywa01
2014,ARI,Randall Delgado,510000,Randall,Delgado,randall,delgado,delgara01
2014,ARI,Will Harris,510000,Will,Harris,will,harris,harriwi01
2014,ARI,Tony Campana,509500,Tony,Campana,tony,campana,campato01
2014,ARI,AJ Pollock,507000,AJ,Pollock,aj,pollock,polloaj01
2014,ARI,Didi Gregorius,506500,Didi,Gregorius,didi,gregorius,gregodi01
2014,ARI,Vidal Nuno,504500,Vidal,Nuno,vidal,nuno,nunovi01
2014,ARI,Tuffy Gosewisch,502000,Tuffy,Gosewisch,tuffy,gosewisch,gosewtu01
2014,ARI,Chris Owings,500000,Chris,Owings,chris,owings,owingch01
2015,ARI,Aaron Hill,12000000,Aaron,Hill,aaron,hill,hillaa01
2015,ARI,Mark Trumbo,6900000,Mark,Trumbo,mark,trumbo,trumbma01
2015,ARI,Yasmany Tomas,5500000,Yasmany,Tomas,yasmany,tomas,tomasya01
2015,ARI,Brad Ziegler,5000000,Brad,Ziegler,brad,ziegler,zieglbr01
2015,ARI,Addison Reed,4875000,Addison,Reed,addison,reed,reedad01
2015,ARI,Jeremy Hellickson,4275000,Jeremy,Hellickson,jeremy,hellickson,hellije01
2015,ARI,Cliff Pennington,3275000,Cliff,Pennington,cliff,pennington,pennicl01
2015,ARI,Paul Goldschmidt,3100000,Paul,Goldschmidt,paul,goldschmidt,goldspa01
2015,ARI,Oliver Perez,2500000,Oliver,Perez,oliver,perez,perezol01
2015,ARI,David Hernandez,2000000,David,Hernandez,david,hernandez,hernada01
2015,ARI,Josh Collmenter,1400000,Josh,Collmenter,josh,collmenter,collmjo01
2015,ARI,David Peralta,1024000,David,Peralta,david,peralta,peralda01
2015,ARI,Gerald Laird,1000000,Gerald,Laird,gerald,laird,lairdge01
2015,ARI,Jordan Pacheco,900000,Jordan,Pacheco,jordan,pacheco,pachejo01
2015,ARI,Daniel Hudson,800000,Daniel,Hudson,daniel,hudson,hudsoda01
2015,ARI,Matt Reynolds,600000,Matt,Reynolds,matt,reynolds,reynoma01
2015,ARI,Randall Delgado,526000,Randall,Delgado,randall,delgado,delgara01
2015,ARI,Patrick Corbin,524000,Patrick,Corbin,patrick,corbin,corbipa01
2015,ARI,AJ Pollock,519500,AJ,Pollock,aj,pollock,polloaj01
2015,ARI,Rubby De La Rosa,516000,Rubby De La,Rosa,rubbydela,rosa,rosaru01
2015,ARI,Tuffy Gosewisch,514500,Tuffy,Gosewisch,tuffy,gosewisch,gosewtu01
2015,ARI,Ender Inciarte,513000,Ender,Inciarte,ender,inciarte,inciaen01
2015,ARI,Chase Anderson,512500,Chase,Anderson,chase,anderson,anderch01
2015,ARI,Chris Owings,512500,Chris,Owings,chris,owings,owingch01
2015,ARI,Evan Marshall,512000,Evan,Marshall,evan,marshall,marshev01
2015,ARI,Matt Stites,510500,Matt,Stites,matt,stites,stitema01
2015,ARI,Nick Ahmed,508500,Nick,Ahmed,nick,ahmed,ahmedni01
2015,ARI,Jake Lamb,508500,Jake,Lamb,jake,lamb,lambja01
2015,ARI,Andrew Chafin,507500,Andrew,Chafin,andrew,chafin,chafian01
2016,ARI,Zack Greinke,31799030,Zack,Greinke,zack,greinke,greinza01
2016,ARI,Yasmany Tomas,7500000,Yasmany,Tomas,yasmany,tomas,tomasya01
2016,ARI,Tyler Clippard,6100000,Tyler,Clippard,tyler,clippard,clippty01
2016,ARI,Paul Goldschmidt,5833333,Paul,Goldschmidt,paul,goldschmidt,goldspa01
2016,ARI,Brad Ziegler,5500000,Brad,Ziegler,brad,ziegler,zieglbr01
2016,ARI,Shelby Miller,4350000,Shelby,Miller,shelby,miller,millesh01
2016,ARI,Welington Castillo,3700000,Welington,Castillo,welington,castillo,castiwe01
2016,ARI,AJ Pollock,3500000,AJ,Pollock,aj,pollock,polloaj01
2016,ARI,Daniel Hudson,2700000,Daniel,Hudson,daniel,hudson,hudsoda01
2016,ARI,Jean Segura,2600000,Jean,Segura,jean,segura,segurje01
2016,ARI,Patrick Corbin,2525000,Patrick,Corbin,patrick,corbin,corbipa01
2016,ARI,Rubby De La Rosa,2350000,Rubby De La,Rosa,rubbydela,rosa,rosaru01
2016,ARI,Rickie Weeks,1500000,Rickie,Weeks,rickie,weeks,weeksri01
2016,ARI,Randall Delgado,1275000,Randall,Delgado,randall,delgado,delgara01
2016,ARI,Chris Owings,530500,Chris,Owings,chris,owings,owingch01
2016,ARI,David Peralta,529600,David,Peralta,david,peralta,peralda01
2016,ARI,Nick Ahmed,521600,Nick,Ahmed,nick,ahmed,ahmedni01
2016,ARI,Robbie Ray,521000,Robbie,Ray,robbie,ray,rayro01
2016,ARI,Jake Lamb,520300,Jake,Lamb,jake,lamb,lambja01
2016,ARI,Andrew Chafin,519700,Andrew,Chafin,andrew,chafin,chafian01
2016,ARI,Chris Herrmann,515900,Chris,Herrmann,chris,herrmann,herrmch01
2016,ARI,Philip Gosselin,513900,Philip,Gosselin,philip,gosselin,gosseph01
2016,ARI,Silvino Bracho,509300,Silvino,Bracho,silvino,bracho,brachsi01
2016,ARI,Brandon Drury,508900,Brandon,Drury,brandon,drury,drurybr01
2016,ARI,Socrates Brito,508500,Socrates,Brito,socrates,brito,britoso01
2016,ARI,Jake Barrett,507500,Jake,Barrett,jake,barrett,barreja01
2011,ATL,Derek Lowe,15000000,Derek,Lowe,derek,lowe,lowede01
2011,ATL,Chipper Jones,14000000,Chipper,Jones,chipper,jones,jonesch01
2011,ATL,Dan Uggla,9146942,Dan,Uggla,dan,uggla,ugglada01
2011,ATL,Tim Hudson,9000000,Tim,Hudson,tim,hudson,hudsoti01
2011,ATL,Nate McLouth,7000000,Nate,McLouth,nate,mclouth,mclouna01
2011,ATL,Brian McCann,6700000,Brian,McCann,brian,mccann,mccanbr01
2011,ATL,Scott Linebrink,5500000,Scott,Linebrink,scott,linebrink,linebsc01
2011,ATL,Jair Jurrjens,3250000,Jair,Jurrjens,jair,jurrjens,jurrjja01
2011,ATL,Martin Prado,3100000,Martin,Prado,martin,prado,pradoma01
2011,ATL,Alex Gonzalez,2500000,Alex,Gonzalez,alex,gonzalez,gonzaal01
2011,ATL,Peter Moylan,2000000,Peter,Moylan,peter,moylan,moylape01
2011,ATL,David Ross,1625000,David,Ross,david,ross,rossda01
2011,ATL,Eric Hinske,1350000,Eric,Hinske,eric,hinske,hinsker01
2011,ATL,George Sherrill,1200000,George,Sherrill,george,sherrill,sherrge01
2011,ATL,Eric O'Flaherty,895000,Eric,O'Flaherty,eric,oflaherty,oflaher01
2011,ATL,Jason Heyward,496500,Jason,Heyward,jason,heyward,heywaja01
2011,ATL,Tommy Hanson,456500,Tommy,Hanson,tommy,hanson,hansoto01
2011,ATL,Kris Medlen,429500,Kris,Medlen,kris,medlen,medlekr01
2011,ATL,Jonny Venters,429500,Jonny,Venters,jonny,venters,ventejo01
2011,ATL,Brooks Conrad,427250,Brooks,Conrad,brooks,conrad,conrabr01
2011,ATL,Craig Kimbrel,419000,Craig,Kimbrel,craig,kimbrel,kimbrcr01
2011,ATL,Cristhian Martinez,419000,Cristhian,Martinez,cristhian,martinez,marticr01
