nameFirst,nameLast,nameFull,signingStatus
Lucas,Giolito,Lucas Giolito,unsigned
Patrick,Corbin,Patrick Corbin,unsigned
Zack,Littell,Zack Littell,unsigned
Ramón,Urías,Ramón Urías,unsigned
Justin,Wilson,Justin Wilson,unsigned
Rhys,Hoskins,Rhys Hoskins,unsigned
Starling,Marte,Starling Marte,unsigned
Danny,Coulombe,Danny Coulombe,unsigned
Max,Kepler,Max Kepler,unsigned
Max,Scherzer,Max Scherzer,unsigned
Elias,Díaz,Elias Díaz,unsigned
Charlie,Morton,Charlie Morton,unsigned
Max,Kranick,Max Kranick,unsigned
Jorge,López,Jorge López,unsigned
Christian,Vázquez,Christian Vázquez,unsigned
DJ,LeMahieu,DJ LeMahieu,unsigned
Jalen,Beeks,Jalen Beeks,unsigned
Tommy,Pham,Tommy Pham,unsigned
Dauri,Moreta,Dauri Moreta,unsigned
Tim,Anderson,Tim Anderson,unsigned
Luis,Urías,Luis Urías,unsigned
Tyler,Anderson,Tyler Anderson,unsigned
Luis,Garcia,Luis Garcia,unsigned
Marcus,Stroman,Marcus Stroman,unsigned
Joey,Lucchesi,Joey Lucchesi,unsigned
Hunter,Strickland,Hunter Strickland,unsigned
Michael,Kopech,Michael Kopech,unsigned
Frankie,Montas,Frankie Montas,unsigned
Mitch,Garver,Mitch Garver,unsigned
Donovan,Solano,Donovan Solano,unsigned
T.J.,McFarland,T.J. McFarland,unsigned
Rowdy,Tellez,Rowdy Tellez,unsigned
Spencer,Turnbull,Spencer Turnbull,unsigned
Jesse,Winker,Jesse Winker,unsigned
Michael,Tonkin,Michael Tonkin,unsigned
Andrew,McCutchen,Andrew McCutchen,unsigned
Wade,Miley,Wade Miley,unsigned
Scott,McGough,Scott McGough,unsigned
Tony,Gonsolin,Tony Gonsolin,unsigned
Manuel,Margot,Manuel Margot,unsigned
Luke,Jackson,Luke Jackson,unsigned
Colin,Poche,Colin Poche,unsigned
Jose,Iglesias,Jose Iglesias,unsigned
Wilmer,Flores,Wilmer Flores,unsigned
Kendall,Graveman,Kendall Graveman,unsigned
Tommy,Kahnle,Tommy Kahnle,unsigned
Thairo,Estrada,Thairo Estrada,unsigned
José,Leclerc,José Leclerc,unsigned
Justin,Turner,Justin Turner,unsigned
Yuli,Gurriel,Yuli Gurriel,unsigned
Randal,Grichuk,Randal Grichuk,unsigned
Jon,Berti,Jon Berti,unsigned
Jon,Gray,Jon Gray,unsigned
Jason,Heyward,Jason Heyward,unsigned
Scott,Alexander,Scott Alexander,unsigned
Michael,Conforto,Michael Conforto,unsigned
Alex,Verdugo,Alex Verdugo,unsigned
Chad,Green,Chad Green,unsigned
Nestor,Cortes,Nestor Cortes,unsigned
Alex,Cobb,Alex Cobb,unsigned
Tom,Murphy,Tom Murphy,unsigned
Jake,Cousins,Jake Cousins,unsigned
